model,yil,km,renk,fiyat,il
Peugeot 207 1.4 HDi Active,2011,150.000 ,Gri (titanyum),98.000 TL,İstanbul
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2013,107.000 ,Gri (Gümüş),237.000 TL,Ankara
Seat Leon 1.6 TDI CR Style,2015,83.700 ,-,186.000 TL,İstanbul
Renault Fluence 1.5 dCi Extreme,2011,195.000 ,-,84.500 TL,Adana
Lada Vega 1.5,2000,128.280 ,Altın,30.750 TL,Tekirdağ
Hyundai Sonata 2.0 GLS,2003,197.000 ,-,67.500 TL,İstanbul
Tofaş Doğan SLX,1993,10.000 ,-,26.000 TL,Aydın
Volkswagen Passat 1.6 TDi BlueMotion R Line,2017,56.000 ,-,404.000 TL,İstanbul
Tofaş Şahin S,1994,270.000 ,-,28.500 TL,İstanbul
Toyota Avensis 1.6 Elegant,2005,156.000 ,Gri (Gümüş),89.750 TL,Tekirdağ
Dacia Sandero 1.5 dCi Stepway,2013,118.000 ,Mavi,120.250 TL,Kocaeli
Opel Corsa 1.2 Twinport Essentia,2012,90.000 ,Gri (Gümüş),99.000 TL,Mardin
Honda Civic 1.6 i-VTEC Elegance,2008,187.000 ,-,116.500 TL,Ankara
Renault Clio 1.5 dCi Authentique,2010,270.000 ,Beyaz,77.000 TL,Muğla
Volkswagen Passat 1.4 TSi BlueMotion Trendline,2014,87.500 ,Beyaz,220.000 TL,Kocaeli
Chevrolet Lacetti 1.4 SE,2007,257.000 ,-,61.000 TL,Antalya
Renault Clio 1.5 dCi Icon,2017,55.000 ,-,172.000 TL,Kayseri
Ford Fiesta 1.4 TDCi Comfort,2006,188.000 ,-,72.000 TL,Kahramanmaraş
Volvo S40 1.6 D Dynamic,2011,173.000 ,-,176.000 TL,Manisa
BMW 3 Serisi 316i Standart,2006,116.500 ,Füme,157.000 TL,Antalya
Renault Megane 1.5 dCi Expression,2007,243.000 ,-,84.000 TL,Kocaeli
Renault Fluence 1.5 dCi Extreme,2010,107.000 ,-,112.500 TL,İstanbul
Toyota Corolla 1.6 GLi Liftback,1990,590.000 ,-,24.500 TL,Kahramanmaraş
Toyota Auris 1.6 Elegant,2008,243.200 ,Füme,102.000 TL,Malatya
Hyundai i20 1.4 MPI Style Design,2019,6.000 ,-,187.500 TL,Ankara
Renault Clio 1.5 dCi Joy,2016,168.000 ,Beyaz,118.000 TL,İstanbul
Volkswagen Jetta 1.6 TDi Comfortline,2015,65.000 ,Beyaz,189.000 TL,Nevşehir
Mercedes - Benz C 180 Exclusive,2015,94.000 ,-,425.000 TL,Bursa
Honda Civic 1.4 1.4i,1997,265.000 ,-,57.000 TL,Adana
Citroen C3 1.4 HDi Attraction,2013,183.500 ,Beyaz,97.000 TL,Balıkesir
Hyundai i20 1.4 MPI Style Design,2019,6.000 ,-,187.500 TL,Ankara
Fiat Punto EVO 1.3 Multijet Dynamic,2012,82.000 ,-,120.000 TL,Bursa
Nissan Primera 1.6 SLX,1997,210 ,-,55.500 TL,Konya
Renault Fluence 1.5 dCi Extreme,2012,228.270 ,Gri (Gümüş),105.500 TL,Sakarya
Citroen C4 1.6 HDi VTRPK,2010,228.000 ,-,100.000 TL,Mersin
Ford Fiesta 1.4 Fun,2001,265.000 ,-,41.000 TL,Çorum
Toyota Corolla 1.6 Life,2018,21.000 ,-,177.500 TL,Adana
Renault Fluence 1.5 dCi Touch,2014,76.000 ,Beyaz,142.500 TL,İstanbul
Tofaş Kartal SLX,1995,550 ,-,23.000 TL,Kocaeli
Opel Astra 1.6 Enjoy Plus,2012,161.000 ,Beyaz,113.000 TL,Kayseri
Ford Focus 1.6 Ambiente,1999,244.000 ,-,57.500 TL,Amasya
Fiat Egea 1.6 Multijet Mirror,2020,0 ,Beyaz,235.000 TL,Konya
Renault Laguna 2.0 Privilege,2003,174.000 ,Siyah,65.000 TL,Samsun
BMW 3 Serisi 318Ci,2004,192.500 ,Beyaz,149.000 TL,İzmir
Renault Clio 1.5 dCi Grandtour Authentique,2012,199.000 ,-,83.000 TL,İstanbul
Renault Clio 1.4 RXT,2001,215.000 ,Gri (Gümüş),58.000 TL,Ankara
Renault Symbol 1.5 dCi Joy,2014,167.000 ,Beyaz,89.500 TL,Gaziantep
Fiat Albea 1.3 Multijet Active,2005,405.000 ,-,35.000 TL,Mersin
Volkswagen Passat 1.8 T Comfortline,2003,330 ,Gri (titanyum),118.000 TL,Niğde
Peugeot 206 1.4 HDi X-line,2003,185.000 ,-,42.000 TL,Kocaeli
Renault R 21 2.0 Concorde,1993,214.000 ,Füme,33.000 TL,Konya
Fiat Punto 1.4 Easy S&S,2013,90.000 ,-,75.750 TL,Bingöl
Volkswagen Polo 1.4 TDi Trendline,2015,165.000 ,-,130.000 TL,Hatay
Audi 80 Serisi 1.6 TD,1991,200.000 ,-,32.000 TL,Konya
Hyundai Elantra 1.6 D-CVVT Mode,2011,160.000 ,-,132.500 TL,İzmir
Renault Symbol 1.5 dCi Joy,2015,190.000 ,-,99.500 TL,Şanlıurfa
Citroen C2 1.4 HDi SX,2005,293.000 ,-,57.750 TL,Ankara
Opel Corsa 1.3 CDTI Essentia,2006,161.000 ,-,63.750 TL,Diyarbakır
Renault Symbol 1.5 dCi Touch,2013,152.000 ,Beyaz,105.000 TL,Şanlıurfa
Ford Focus 1.6 Trend,2006,236.000 ,Bordo,65.000 TL,Manisa
Renault Clio 1.5 dCi Icon,2015,80.500 ,Kırmızı,134.500 TL,Ankara
Ford Fiesta 1.4 Comfort,2005,153.000 ,Füme,74.750 TL,Tekirdağ
Toyota Corolla 1.4 D-4D Comfort,2009,251.000 ,Siyah,117.500 TL,Kars
Renault Fluence 1.5 dCi Joy,2013,190.000 ,-,122.000 TL,Bursa
Fiat Tipo 1.6 SX,1995,115.000 ,Beyaz,36.500 TL,İzmir
Volkswagen Polo 1.4 Comfortline,2012,103.000 ,Siyah,107.000 TL,Bursa
Seat Ibiza 1.0 Referance,2015,89.600 ,Kırmızı,103.500 TL,Bursa
Ford Focus 1.6 Ghia,2000,273.000 ,-,66.500 TL,Çorum
Volkswagen Passat 1.6 Trendline,2004,233.600 ,Bej,89.999 TL,Kastamonu
Geely Emgrand 1.5 GSL,2011,262.000 ,Siyah,58.500 TL,İstanbul
Renault Clio 1.5 dCi Joy,2015,132.000 ,Beyaz,117.000 TL,İstanbul
Toyota Avensis 1.6 Elegant,2005,235.000 ,-,65.000 TL,Şanlıurfa
Toyota Corolla 1.4 D-4D Advance,2015,100.000 ,Beyaz,180.000 TL,Adıyaman
Toyota Corolla 1.4 D-4D Touch,2013,82.200 ,-,170.000 TL,İstanbul
Volkswagen Passat 2.0 TDi Comfortline,2006,195.000 ,-,97.000 TL,Mersin
Renault Symbol 1.5 dCi Joy,2015,143.000 ,Beyaz,83.000 TL,İstanbul
Mercedes - Benz S 320,2000,340.000 ,Füme,140.000 TL,Sivas
Fiat Tempra 1.6 SX A,1994,111.236 ,Beyaz,25.800 TL,Tekirdağ
Renault Clio 1.5 dCi Touch,2012,290.000 ,Siyah,94.000 TL,Muğla
Ford Focus 1.6 Collection,2005,177.000 ,Beyaz,91.000 TL,Ankara
Chevrolet Aveo 1.3 D LT,2013,48.300 ,Gri,114.900 TL,İstanbul
Ford Mondeo 1.6 TDCi Titanium,2016,62.000 ,-,272.000 TL,Elazığ
Fiat Albea Sole 1.4 Fire Active Plus,2011,137.000 ,Beyaz,75.900 TL,Muğla
Renault Fluence 1.5 dCi Joy,2014,200.000 ,Beyaz,125.000 TL,Düzce
Renault Clio 1.4 Authentique,2006,182.000 ,Gri,69.500 TL,Manisa
Opel Astra 1.3 CDTI Sport,2012,151.000 ,-,140.000 TL,Adana
Dacia Sandero 0.9 TCe Stepway,2018,30.000 ,-,147.000 TL,Kayseri
Honda Civic 1.6 i-VTEC Eco Executive,2018,54.000 ,-,265.000 TL,Siirt
Honda Civic 1.6 i-VTEC ECO Elegance,2020,0 ,Beyaz,290.000 TL,Osmaniye
Honda Civic 1.6 i-VTEC Elegance,2007,148.000 ,Füme,138.000 TL,Ankara
Renault Latitude 1.5 dCi Privilege,2012,165.000 ,-,93.000 TL,Batman
Fiat Egea 1.4 Fire Urban Plus,2019,19.000 ,Beyaz,155.000 TL,Ankara
Citroen C5 1.6 HDi Dynamique,2011,202.000 ,-,115.750 TL,Diyarbakır
Volkswagen Passat 1.6 FSi Comfortline,2007,150.000 ,-,120.000 TL,Aydın
Skoda SuperB 1.6 TDI Elegance,2012,111.000 ,Beyaz,189.000 TL,Van
Mitsubishi Lancer 1.6 Invite,2008,166.000 ,Gri (metalik),76.500 TL,İstanbul
Citroen C-Elysee 1.6 HDi Attraction,2014,135.000 ,-,111.500 TL,Ankara
Mercedes - Benz E 200 D,1994,435.000 ,-,70.000 TL,Hatay
Tofaş Şahin S,1993,17.000 ,-,25.000 TL,İstanbul
Volkswagen Golf 1.6 TDi Highline,2011,2.001 ,-,122.000 TL,Denizli
Volkswagen Jetta 1.6 TDi Comfortline,2014,138.500 ,-,200.000 TL,Adıyaman
Suzuki Alto 0.8 GL,1986,55.000 ,Turuncu,42.000 TL,İstanbul
Fiat Palio 1.6 HL,1998,290.000 ,Bordo,40.000 TL,Balıkesir
Volkswagen Polo 1.4 TDi Bluemotion,2015,92.500 ,Siyah,132.000 TL,İstanbul
Volkswagen Polo 1.2 Ice,2012,83.000 ,-,140.000 TL,İstanbul
Fiat Linea 1.3 Multijet Emotion,2008,163.500 ,Siyah,85.000 TL,Adana
Renault Clio 1.2 Authentique,2006,207.000 ,Kırmızı,74.000 TL,Antalya
Skoda Octavia 1.6 TDI Style,2016,62.500 ,-,225.000 TL,İstanbul
Renault R 19 1.4 Europa RN,1996,265.000 ,Gri (metalik),30.000 TL,Antalya
Renault Clio 1.4 Dynamique,2009,143.000 ,-,85.000 TL,İzmir
Opel Astra 1.6 CDTI Edition,2014,203.000 ,-,127.500 TL,Kütahya
Seat Ibiza 1.4 Style,2014,64.000 ,-,126.500 TL,Gaziantep
Citroen C4 1.6 HDi SX PK,2010,152.000 ,-,97.000 TL,Mardin
Citroen Saxo 1.6 VTS,2001,164.000 ,Mavi,55.000 TL,İstanbul
Honda Civic 1.6 i-VTEC Eco Executive,2019,10.500 ,-,280.000 TL,Mersin
Honda Civic 1.5 i-VTEC RS,2017,33.000 ,-,278.500 TL,Denizli
Fiat Uno 70 S,1999,319.000 ,Beyaz,27.000 TL,İstanbul
Ford Focus 1.6 Ti-VCT Style Plus,2012,161.000 ,Siyah,145.500 TL,Ankara
Tofaş Şahin 1.6,1998,89.999 ,-,19.000 TL,Nevşehir
Fiat Linea 1.3 Multijet Dynamic,2012,132.000 ,-,84.000 TL,İstanbul
Peugeot 206 1.4 HDi X-Design,2006,222.000 ,Siyah,59.750 TL,İstanbul
Dacia Sandero 1.5 dCi Stepway,2018,93.000 ,Kırmızı,135.000 TL,İstanbul
Renault Symbol 1.5 dCi Expression,2011,172.000 ,Gri (metalik),65.000 TL,İstanbul
Audi A4 Sedan 2.0 TDI,2010,340.000 ,Siyah,180.000 TL,Batman
Renault Symbol 1.2 Joy,2015,11.450 ,-,120.000 TL,Ankara
Fiat Palio 1.4 EL,2000,333 ,-,36.500 TL,Bolu
BMW 3 Serisi 320d Luxury,2013,200.000 ,Siyah,350.000 TL,Diyarbakır
Mercedes - Benz C 180 Elegance,1994,250.000 ,-,68.000 TL,Hatay
Opel Astra 1.3 CDTI Sport,2013,157.000 ,Beyaz,150.000 TL,İstanbul
Honda Civic 1.6 i-VTEC ECO Elegance,2018,29.000 ,-,261.500 TL,Samsun
BMW 3 Serisi 320d Premium Line,2019,32.000 ,-,600.000 TL,Antalya
Ford Fiesta 1.4 TDCi Comfort,2003,175.400 ,Gri,68.750 TL,Amasya
Renault Laguna 2.0 RXE,2001,238.000 ,-,70.000 TL,Diyarbakır
Renault R 9 1.4 Broadway GTE,1992,333.000 ,-,35.500 TL,Osmaniye
Hyundai Getz 1.5 VGT HY KLM,2009,162.000 ,-,74.000 TL,İstanbul
Renault Clio 1.5 dCi Icon,2017,67.300 ,Beyaz,174.000 TL,İstanbul
Toyota Corolla 1.6 Dream,2020,12.500 ,Beyaz,240.000 TL,Kastamonu
Citroen C-Elysee 1.6 HDi Confort,2016,156.750 ,-,108.000 TL,Şanlıurfa
